案例编号,测试轮次,最优设置,最优分数
1,1,"(0, 0, 0, 1)",29.79
1,2,"(0, 0, 0, 1)",30.6
1,3,"(1, 0, 0, 1)",30.58
1,4,"(1, 0, 0, 1)",30.7
1,5,"(1, 0, 0, 1)",30.05
1,6,"(1, 0, 0, 1)",30.49
1,7,"(1, 0, 0, 1)",30.19
1,8,"(1, 0, 0, 1)",30.56
1,9,"(1, 0, 0, 1)",30.16
1,10,"(1, 0, 0, 1)",30.71
1,11,"(1, 0, 0, 1)",30.01
1,12,"(0, 0, 0, 1)",29.84
1,13,"(0, 0, 0, 1)",30.23
1,14,"(1, 0, 0, 1)",30.8
1,15,"(1, 0, 0, 1)",30.5
1,16,"(0, 0, 0, 1)",30.76
1,17,"(0, 0, 0, 1)",30.18
1,18,"(1, 0, 0, 1)",30.32
1,19,"(1, 0, 0, 1)",30.78
1,20,"(1, 0, 0, 1)",30.29
1,21,"(1, 0, 0, 1)",29.99
1,22,"(1, 0, 0, 1)",30.09
1,23,"(1, 0, 0, 1)",30.24
1,24,"(1, 0, 0, 1)",30.46
1,25,"(0, 0, 0, 1)",30.13
1,26,"(1, 0, 0, 1)",30.62
1,27,"(1, 0, 0, 1)",30.0
1,28,"(1, 0, 0, 1)",30.88
1,29,"(0, 0, 0, 1)",30.57
1,30,"(1, 0, 0, 1)",30.05
1,31,"(0, 0, 0, 1)",30.45
1,32,"(0, 0, 0, 1)",30.72
1,33,"(1, 0, 0, 1)",30.18
1,34,"(1, 0, 0, 1)",30.15
1,35,"(1, 0, 0, 1)",29.9
1,36,"(0, 0, 0, 1)",30.6
1,37,"(1, 0, 0, 1)",30.49
1,38,"(1, 0, 0, 1)",29.97
1,39,"(1, 0, 0, 1)",30.31
1,40,"(1, 0, 0, 1)",30.62
1,41,"(1, 0, 0, 1)",30.47
1,42,"(1, 0, 0, 1)",30.29
1,43,"(1, 0, 0, 1)",30.38
1,44,"(0, 0, 0, 1)",30.11
1,45,"(1, 0, 0, 1)",30.49
1,46,"(0, 0, 0, 1)",30.49
1,47,"(1, 0, 0, 1)",30.18
1,48,"(1, 0, 0, 1)",29.91
1,49,"(1, 0, 0, 1)",30.62
1,50,"(1, 0, 0, 1)",29.9
1,51,"(1, 0, 0, 1)",30.05
1,52,"(1, 0, 0, 1)",30.87
1,53,"(1, 0, 0, 1)",30.27
1,54,"(0, 0, 0, 1)",30.6
1,55,"(1, 0, 0, 1)",29.82
1,56,"(1, 0, 0, 1)",30.97
1,57,"(1, 0, 0, 1)",30.63
1,58,"(1, 0, 0, 1)",29.76
1,59,"(1, 0, 0, 1)",30.77
1,60,"(1, 0, 0, 1)",30.54
1,61,"(1, 0, 0, 1)",30.58
1,62,"(1, 0, 0, 1)",29.95
1,63,"(1, 0, 0, 1)",30.42
1,64,"(1, 0, 0, 1)",29.77
1,65,"(1, 0, 0, 1)",30.76
1,66,"(1, 0, 0, 1)",30.4
1,67,"(1, 0, 0, 1)",30.01
1,68,"(1, 0, 0, 1)",30.57
1,69,"(0, 0, 0, 1)",30.32
1,70,"(1, 0, 0, 1)",30.4
1,71,"(1, 0, 0, 1)",30.13
1,72,"(1, 0, 0, 1)",30.49
1,73,"(1, 0, 0, 1)",29.76
1,74,"(0, 0, 0, 1)",30.48
1,75,"(1, 0, 0, 1)",30.52
1,76,"(1, 0, 0, 1)",30.19
1,77,"(1, 0, 0, 1)",30.66
1,78,"(1, 0, 0, 1)",30.67
1,79,"(1, 0, 0, 1)",29.82
1,80,"(1, 0, 0, 1)",30.52
1,81,"(1, 0, 0, 1)",29.92
1,82,"(1, 0, 0, 1)",29.85
1,83,"(1, 0, 0, 1)",30.3
1,84,"(1, 0, 0, 1)",30.1
1,85,"(1, 0, 0, 1)",30.74
1,86,"(1, 0, 0, 1)",29.94
1,87,"(1, 0, 0, 1)",30.13
1,88,"(0, 0, 0, 1)",30.45
1,89,"(0, 0, 0, 1)",31.01
1,90,"(1, 0, 0, 1)",30.09
1,91,"(1, 0, 0, 1)",29.92
1,92,"(1, 0, 0, 1)",30.54
1,93,"(1, 0, 0, 1)",30.49
1,94,"(1, 0, 0, 1)",29.9
1,95,"(0, 0, 0, 1)",30.3
1,96,"(1, 0, 0, 1)",30.01
1,97,"(1, 0, 0, 1)",30.77
1,98,"(0, 0, 0, 1)",30.71
1,99,"(0, 0, 0, 1)",30.08
1,100,"(1, 0, 0, 1)",30.17
1,101,"(1, 0, 0, 1)",29.99
1,102,"(1, 0, 0, 1)",30.78
1,103,"(1, 0, 0, 1)",30.55
1,104,"(1, 0, 0, 1)",29.87
1,105,"(1, 0, 0, 1)",30.37
1,106,"(1, 0, 0, 1)",29.96
1,107,"(1, 0, 0, 1)",30.19
1,108,"(1, 0, 0, 1)",30.57
1,109,"(1, 0, 0, 1)",29.84
